   7      0
    12      0
    11      0
    10      0
     9      0
    17      0
    12      1
    11      0
     6      0
     7      0
     9      0
     8      0
    10      1
     6      1
     9      1
     4      1
     3      3
     7      5
    11      4
     5      5
     7     10
     1     20
     3     26
     0     55
     1     56
     3     58
     2     79
     0     86
     1     86
     0     84
     1    106
     0    100
     1     99
     0     75
     1    101
     0     89
     1     88
     1    108
     0    100
     1     98
