    88    132
    87    148
    92    123
    78    115
    96    136
    82    123
    74     99
    60    114
    61     77
    61     78
    46     82
    45     75
    41     73
    29     50
    27     57
    26     46
    21     49
    17     40
    19     40
    12     40
    14     24
     7     34
     9     28
     5     25
    11     14
     4     16
     7     22
     5     17
     2     16
     2     10
     0     13
     4     14
     0     11
     0     12
     1      9
     1     15
     0      8
     0      7
     0     16
     0      4
