     1  0.21403E+01
     2  0.21934E+01
     3  0.22323E+01
     4  0.22626E+01
     5  0.22939E+01
     6  0.23197E+01
     7  0.23465E+01
     8  0.23741E+01
     9  0.23974E+01
    10  0.24217E+01
    11  0.24438E+01
    12  0.24698E+01
    13  0.24925E+01
    14  0.25116E+01
    15  0.25330E+01
    16  0.25548E+01
    17  0.25863E+01
    18  0.26072E+01
    19  0.26183E+01
    20  0.26423E+01
    21  0.26654E+01
    22  0.26868E+01
    23  0.27070E+01
    24  0.27266E+01
    25  0.27448E+01
    26  0.27654E+01
    27  0.27854E+01
    28  0.28031E+01
    29  0.28194E+01
    30  0.28445E+01
    31  0.28658E+01
    32  0.28816E+01
    33  0.28975E+01
    34  0.29171E+01
    35  0.29316E+01
    36  0.29540E+01
    37  0.29706E+01
    38  0.29922E+01
    39  0.30145E+01
    40  0.30276E+01
    41  0.30474E+01
    42  0.30604E+01
    43  0.30791E+01
    44  0.30976E+01
    45  0.31149E+01
    46  0.31320E+01
    47  0.31477E+01
    48  0.31668E+01
    49  0.31849E+01
